n,seconds
1,0.000006495
2,0.000003833
3,0.000002509
4,0.000003282
5,0.000004059
6,0.000003853
7,0.00000465
8,0.000005186
9,0.00000662
10,0.000006919
11,0.000007101
12,0.000007667
13,0.0000086
14,0.000009201
15,0.000009991
16,0.00001088
17,0.000012799
18,0.000013097
19,0.00001404
20,0.000013921
21,0.000014191
22,0.000014243
23,0.000014413
24,0.000015082
25,0.000016442
26,0.000017287
27,0.000017075
28,0.00001844
29,0.000018581
30,0.000018378
31,0.000019114
32,0.000020596
33,0.000022954
34,0.000023341
35,0.000024702
36,0.000024716
37,0.000025888
38,0.000024899
39,0.000026347
40,0.000029544
41,0.000028771
42,0.000030146
43,0.000031282
44,0.000031343
45,0.000036884
46,0.000032891
47,0.000033468
48,0.0000323
49,0.000032921
50,0.000033904
51,0.000036407
52,0.000036402
53,0.000037097
54,0.000036389
55,0.000038273
56,0.000038918
57,0.000039197
58,0.000039096
59,0.000041451
60,0.000043559
61,0.0000438
62,0.000045639
63,0.000046108
64,0.00004588
65,0.000047762
66,0.000047524
67,0.000046856
68,0.000049077
69,0.000050692
70,0.000051026
71,0.000048898
72,0.000051433
73,0.000052906
74,0.00005262
75,0.000051461
76,0.00005259
77,0.000052839
78,0.000063896
79,0.000055014
80,0.000056356
81,0.000057858
82,0.000061867
83,0.000056809
84,0.000060877
85,0.000067726
86,0.000059114
87,0.000064201
88,0.000062935
89,0.000061548
90,0.000066947
91,0.000080957
92,0.000066248
93,0.000068672
94,0.000070912
95,0.0000725
96,0.000079941
97,0.000093001
98,0.000106376
99,0.000071576
100,0.000075594
101,0.000083676
102,0.000070784
103,0.00007438
104,0.00007502
105,0.000081386
106,0.000090976
107,0.000081802
108,0.000082471
109,0.000081063
110,0.000077753
111,0.000109668
112,0.000081903
113,0.000084111
114,0.000084177
115,0.000096964
116,0.000085871
117,0.000086921
118,0.000085937
119,0.000085968
120,0.000093167
121,0.000087006
122,0.000089287
123,0.000092715
124,0.000101624
125,0.000090798
126,0.000096648
127,0.000090373
128,0.000107188
129,0.000103321
130,0.000097863
131,0.000101652
132,0.000107386
133,0.000096168
134,0.000105578
135,0.000108099
136,0.000113341
137,0.000105986
138,0.000106308
139,0.000107654
140,0.000107042
141,0.000109761
142,0.000110493
143,0.000119796
144,0.00010983
145,0.000108587
146,0.000119672
147,0.000115283
148,0.000114652
149,0.000115598
150,0.000122686
151,0.000110778
152,0.000113947
153,0.000125451
154,0.000121383
155,0.000117735
156,0.000115627
157,0.000122567
158,0.000116976
159,0.00012132
160,0.00012865
161,0.000121093
162,0.000133615
163,0.000135028
164,0.000128075
165,0.000126238
166,0.000148657
167,0.000125034
168,0.000130658
169,0.000157056
170,0.000132487
171,0.000130338
172,0.000146867
173,0.00013658
174,0.000131754
175,0.000139542
176,0.000138864
177,0.000140447
178,0.000155727
179,0.000141225
180,0.000136247
181,0.000136615
